 frequency       Hph1magdB       Hph2magdB      
 3.40041193e+03 -2.72754979e-01 -2.72754979e-01 
 3.42400614e+03 -2.76130447e-01 -2.76130447e-01 
 3.44776405e+03 -2.79541954e-01 -2.79541954e-01 
 3.47168682e+03 -2.82989725e-01 -2.82989725e-01 
 3.49577557e+03 -2.86473984e-01 -2.86473984e-01 
 3.52003147e+03 -2.89994949e-01 -2.89994949e-01 
 3.54445567e+03 -2.93552837e-01 -2.93552837e-01 
 3.56904935e+03 -2.97147858e-01 -2.97147858e-01 
 3.59381366e+03 -3.00780220e-01 -3.00780220e-01 
 3.61874981e+03 -3.04450126e-01 -3.04450126e-01 
 3.64385898e+03 -3.08157774e-01 -3.08157774e-01 
 3.66914238e+03 -3.11903358e-01 -3.11903358e-01 
 3.69460121e+03 -3.15687067e-01 -3.15687067e-01 
 3.72023668e+03 -3.19509082e-01 -3.19509082e-01 
 3.74605003e+03 -3.23369584e-01 -3.23369584e-01 
 3.77204249e+03 -3.27268742e-01 -3.27268742e-01 
 3.79821531e+03 -3.31206724e-01 -3.31206724e-01 
 3.82456972e+03 -3.35183688e-01 -3.35183688e-01 
 3.85110700e+03 -3.39199789e-01 -3.39199789e-01 
 3.87782841e+03 -3.43255173e-01 -3.43255173e-01 
 3.90473524e+03 -3.47349980e-01 -3.47349980e-01 
 3.93182876e+03 -3.51484340e-01 -3.51484340e-01 
 3.95911027e+03 -3.55658380e-01 -3.55658380e-01 
 3.98658107e+03 -3.59872215e-01 -3.59872215e-01 
 4.01424249e+03 -3.64125954e-01 -3.64125954e-01 
 4.04209584e+03 -3.68419697e-01 -3.68419697e-01 
 4.07014245e+03 -3.72753534e-01 -3.72753534e-01 
 4.09838367e+03 -3.77127548e-01 -3.77127548e-01 
 4.12682085e+03 -3.81541811e-01 -3.81541811e-01 
 4.15545533e+03 -3.85996385e-01 -3.85996385e-01 
 4.18428851e+03 -3.90491323e-01 -3.90491323e-01 
 4.21332174e+03 -3.95026667e-01 -3.95026667e-01 
 4.24255643e+03 -3.99602447e-01 -3.99602447e-01 
 4.27199397e+03 -4.04218684e-01 -4.04218684e-01 
 4.30163576e+03 -4.08875385e-01 -4.08875385e-01 
 4.33148322e+03 -4.13572546e-01 -4.13572546e-01 
 4.36153779e+03 -4.18310151e-01 -4.18310151e-01 
 4.39180089e+03 -4.23088171e-01 -4.23088171e-01 
 4.42227398e+03 -4.27906563e-01 -4.27906563e-01 
 4.45295851e+03 -4.32765271e-01 -4.32765271e-01 
 4.48385595e+03 -4.37664225e-01 -4.37664225e-01 
 4.51496777e+03 -4.42603341e-01 -4.42603341e-01 
 4.54629547e+03 -4.47582518e-01 -4.47582518e-01 
 4.57784054e+03 -4.52601643e-01 -4.52601643e-01 
 4.60960449e+03 -4.57660583e-01 -4.57660583e-01 
 4.64158883e+03 -4.62759191e-01 -4.62759191e-01 
 4.67379511e+03 -4.67897304e-01 -4.67897304e-01 
 4.70622485e+03 -4.73074741e-01 -4.73074741e-01 
 4.73887961e+03 -4.78291301e-01 -4.78291301e-01 
 4.77176095e+03 -4.83546767e-01 -4.83546767e-01 
 4.80487044e+03 -4.88840903e-01 -4.88840903e-01 
 4.83820966e+03 -4.94173453e-01 -4.94173453e-01 
 4.87178022e+03 -4.99544142e-01 -4.99544142e-01 
 4.90558371e+03 -5.04952672e-01 -5.04952672e-01 
 4.93962174e+03 -5.10398728e-01 -5.10398728e-01 
 4.97389596e+03 -5.15881969e-01 -5.15881969e-01 
 5.00840799e+03 -5.21402035e-01 -5.21402035e-01 
 5.04315949e+03 -5.26958541e-01 -5.26958541e-01 
 5.07815211e+03 -5.32551082e-01 -5.32551082e-01 
 5.11338754e+03 -5.38179224e-01 -5.38179224e-01 
 5.14886745e+03 -5.43842513e-01 -5.43842513e-01 
 5.18459354e+03 -5.49540467e-01 -5.49540467e-01 
 5.22056753e+03 -5.55272578e-01 -5.55272578e-01 
 5.25679112e+03 -5.61038313e-01 -5.61038313e-01 
 5.29326606e+03 -5.66837112e-01 -5.66837112e-01 
 5.32999408e+03 -5.72668384e-01 -5.72668384e-01 
 5.36697695e+03 -5.78531513e-01 -5.78531513e-01 
 5.40421642e+03 -5.84425851e-01 -5.84425851e-01 
 5.44171429e+03 -5.90350721e-01 -5.90350721e-01 
 5.47947234e+03 -5.96305416e-01 -5.96305416e-01 
 5.51749238e+03 -6.02289196e-01 -6.02289196e-01 
 5.55577622e+03 -6.08301289e-01 -6.08301289e-01 
 5.59432571e+03 -6.14340891e-01 -6.14340891e-01 
 5.63314267e+03 -6.20407163e-01 -6.20407163e-01 
 5.67222897e+03 -6.26499232e-01 -6.26499232e-01 
 5.71158648e+03 -6.32616190e-01 -6.32616190e-01 
 5.75121707e+03 -6.38757091e-01 -6.38757091e-01 
 5.79112265e+03 -6.44920953e-01 -6.44920953e-01 
 5.83130511e+03 -6.51106757e-01 -6.51106757e-01 
 5.87176639e+03 -6.57313445e-01 -6.57313445e-01 
 5.91250841e+03 -6.63539917e-01 -6.63539917e-01 
 5.95353313e+03 -6.69785035e-01 -6.69785035e-01 
 5.99484250e+03 -6.76047619e-01 -6.76047619e-01 
 6.03643851e+03 -6.82326447e-01 -6.82326447e-01 
 6.07832313e+03 -6.88620252e-01 -6.88620252e-01 
 6.12049837e+03 -6.94927726e-01 -6.94927726e-01 
 6.16296626e+03 -7.01247512e-01 -7.01247512e-01 
 6.20572881e+03 -7.07578211e-01 -7.07578211e-01 
 6.24878807e+03 -7.13918374e-01 -7.13918374e-01 
